student_id,video_id,group_name,question_id,accuracy,fall_num_avg,confusion_dur,inattention_dur,valid_percent,follow_percent,choice
148,1,control,test_q1,1,17.0,0.0,0.0,0.9130434782608696,0.0434782608695652,D
148,1,control,test_q2,0,17.0,0.0,0.0,0.9130434782608696,0.0434782608695652,A
148,1,control,test_q3,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,C
148,1,control,test_q4,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,A
148,1,control,test_q5,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,B
148,1,control,test_q6,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,B
148,1,control,test_q7,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,A
148,1,control,test_q8,1,4.333333333333333,0.0,0.0,0.3843351593351594,0.218996743996744,A
148,1,control,test_q9,1,2.325,0.0,0.0,0.5067053520088388,0.2612984759152928,B
148,1,control,test_q10,0,2.325,0.0,0.0,0.5067053520088388,0.2612984759152928,D
148,1,control,test_q11,0,2.325,0.0,0.0,0.5067053520088388,0.2612984759152928,C
148,1,control,test_q12,0,1.5,0.0,0.0,0.1456061651713825,0.0189153439153439,B
155,1,control,test_q1,0,5.0,0.0,0.0,1.0,0.0,B
155,1,control,test_q2,1,5.0,0.0,0.0,1.0,0.0,B
155,1,control,test_q3,1,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,C
155,1,control,test_q4,1,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,A
155,1,control,test_q5,0,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,A
155,1,control,test_q6,1,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,B
155,1,control,test_q7,1,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,A
155,1,control,test_q8,1,55.333333333333336,0.0,0.0,0.4719851485684531,0.1270799074869733,A
155,1,control,test_q9,1,4.325,0.0,0.0,0.2159776782637048,0.0886405738511505,B
